"Hello, i would like to know if you have a dataset for performing a creation of a Artificial Intelligence ?
Thanks for the Answer","Hello, we have lots of datasets on the platform for building different kinds of AI models. You can find then on the ""Datasets"" view on the platform.",1
"Hi, I'm developing apps on bubble.io and I'm currently testing IMDb reviews, whether it's positive or negative based on the given text. For some reason, I'm receiving this error","Hello, this seems to be a mismatch between the data format that your model, trained on the Peltarion platform, expects and what is sent from Bubble. Could you have a look at your Workflow view on Bubble and the Deployment page on Peltarion and see if the data sent matches what the model expects?

I've attached two screenshots where you can see what I mean. In my example, the expected input and the data sent differs so I will get the error message you shared above. You can also post screenshots of your Deployment view and the Workflow view in Bubble and I'll have a look.",1
"
Hi, we run a horse racing data website. I've looked at Peltarion before, but it's I've not been sure what we're doing really. Would we be able to predict a horses Odds from our data using it?","I'm guessing that you have a bunch of measurements about the horse, and possibly some previous race results, and you want to calculate a probability from these values.
Strictly speaking that sounds possible, this would be similar to our predict real estate prices tutorial, where you predict a value (the expected price) from a bunch of metrics about a neighborhood (and an images that you probably wouldn't use).

Then there are a few open questions, like

Can you get the data on the platform? The best way depends on what/how much info you have about a horse, but generally for tabular data we support CSV files which you can create easily, for instance from a spreadsheet.
Do you need to preprocess the data, and what kind of model would work best? This depends entirely on the type of data, and on how complex the problem actually. For instance, I assume you would need to consider the relation with the specific horses from a given race to get accurate odds, we would have to think how to design such a model. 
I would recommend that you start by doing the predict real estate prices tutorial to get a feeling of the platform, and see how working on it and using deployments work in practice.

Then you could try to build a simple model, maybe using only some of your most important data, to see if you can get somewhere. If you describe to me a little the data you have I can help you figure out how to import it.

Let me know what you want to do.",1
How should I prepare text classification data ?,,1
" I delpoyed the experiment from epoch1 then it worked. One more question I wan to ask is, When I was testing, I texted sentences in English then the result is history, after that I translated the sentences into Swedish and the result changed to biography. Is it because the training dataset of Swedish is thin so the accurancy is low? Actually I want to have a look at the confusion matrix of each language but there is only one matrix for multilingual. It may be related to the structure of the model so I want to ask is there a pre-process that translate other languages to English that embedded in the model?","It is possible that the model accuracy can have some variance for different languages, although I would first check what the probabilities calculated for each genre were to rule out simple noise on a ""difficult"" example.

What you could do to get confusion matrices per languages is to add a feature column to your dataset that contains the language of your examples. Then, in the Datasets view, you could create subsets by filtering on the language, so that you have a subset for all the English examples, one subset for all the Swedish examples, etc.

After you run the model and go to the Evaluation view, you will be able to select which subset you want to use in the predictions inspection.

I hope that helps, let me know if something is still unclear or if you have more questions.
",1
"Hi! Sorry to disturb you, but I was wondering if it is possible to build a Jarvis-like model. And if so, would it be reasonable for a beginner?","Building your own Jarvis can be very difficult, but you could have a look at our tutorial list to get ideas about smaller tasks that can be solved on our platform.
https://peltarion.com/knowledge-center/documentation/tutorials",1
I would like to create an enhanced defense communication intelligence Any suggestions?,"Welcome to the platform.

I would recommend that you check out our tutorial list to see if any of the applications can be used in your communication project.

Let me know if you have any questions.
https://peltarion.com/knowledge-center/documentation/tutorials",1
"Peltarion is definitely a great deep learning tool. While, I may I know if it works with time series prediction? or in other words, is Peltarion has RNN or LSTM models?","Time-series isn’t something we have native support for on the platform, since all the models expect fixed-size input.
A simple workaround is to reorder your data to have the last N values in the same row of data. When you have a large number V of variables, this tends to create many features so after a point I would recommend uploading a NumPy array rather than a csv file. If you have T time points, the shape of this array would be (T, NxV).The target you want to predict should be in an extra column of this array.Then you could have a first try with the Dense or Convolution blocks.",1
how do i delete my account?,"Hi, sorry to ser your leave. We will delete your account within 90 days.
Happy weekend!",1
"I tried to deploy a model to see how it would work and used the API. I've made some tests with Postman but I get this response and I don't really understand why : 503 Service Unavailable
No server is available to handle this request.","Simple check, is the deployment in the Enabled state?
Otherwise, could you share the URL of your project so that I could take a look at it?",1
"I'm trying to model an encoder-decoder 1D model. I see that in the 2D models, you have a 2D deconv layer. I must be missing something, but I can't find a 1D deconv layer. Is there a 1D deconv layer possible?","Sorry for the late reply. I've tried to figure out why but I havenät got a good answer. So the only answer I can give you right now is that no one has requested/needed it so far.

I'll continue to ask our data scientists to see why they haven't seen a use for it and what you could do instead.",1
sir i am begineer and also interested to learn AI ..plz help me about fundamental process of AI,"Hi, welcome to the platform.

If you're a beginner and want to get into AI, feel free to check this course: https://faster-ai.teachable.com

It contains an introduction to AI and some hands-on exercises to build your first models.

If you would like to learn more about what the platform can do for you, check out this overview page. And if you're ready to jump right in, learn by practicing with one of our tutorials.
https://peltarion.com/knowledge-center/documentation/get-started-with-the-platform
https://peltarion.com/knowledge-center/documentation/tutorials

Best,
",1
Is there a way to feed training data into the platform in real time?,"Hi,
No, it's not possible to feed training data into the platform at the moment.",1
"Hi, is there an option to disable or enable which layers that should be frozen or not, to be set before training? for example, I want use snippet model like mobileNet and didn't want to change its original weight, only the other additional dense that could be tuned.","Hi,
Yes, you can do that. In each block that is trainable, there is a check box “Trainable”. If you want to keep the weight this box should not be checked.

Snippets

When you select the MobileNet snippet you get a choice to make the weights trainable. Don't! Keep the weights. Then all ""Trainable"" boxes in the snippet will be unchecked.

",1
"Just registered (for free) to try your tool but having trouble uploading any type of sources, in particular images like GIF or PNGs.. Using MacBook )

Any advice on that?","Hi,
All the details you need to know you can find here:

https://peltarion.com/knowledge-center/documentation/datasets-view/import-files-and-data-sources-to-the-platform/requirements-of-imported-files",1
"hi, is there any project example or datasets to experience multiple object detection and its count within one image?","Hi,
I'm sorry we haven't got that feature at the moment.
We've got many examples when it comes to image & text classification. similarity & regression + examples with tabular data.",1
"for image classification, is it possible to enrich the dataset with augmentation? like random flip, rotation, zoom, that lead to larger quantity of the dataset as well.","Hi,
Yes that is possible.
You can read more about it here

https://peltarion.com/knowledge-center/documentation/modeling-view/build-an-ai-model/image-augmentation",1
How is the IMDB Data stored in your platform?,"I've checked again how the IMDB data is processed, so I'll try to clarify some points that you've asked about.

The thing with the scores is that the IMDB reviews are rated numerically, but the Stanford team that created the dataset wanted to only solve a binary classification problem with positive/negative classes.
It was also them who decided to exclude reviews rated between 4 and 7 in order to avoid working with ambiguous text.
https://ai.stanford.edu/~amaas/data/sentiment/

If you would like to work with more than 2 categories, you can absolutely have more in your own dataset. You could also work with the numerical scores if you prefer.

I'm attaching an example of CSV file with a 3-category feature, and a score feature, as an example.

The delicate part when working with CSV and text is that the text feature might include commas and quote marks, which are normally used to delimit the CSV fields.
You can read more about that on in the CSV file specifications.
https://peltarion.com/knowledge-center/documentation/datasets-view/import-files-and-data-sources-to-the-platform/requirements-of-imported-files",1
" looking for a good reconfigurable ai. I'm not sure what you offer but I really need help if it's close to a thing I am looking for.
Countering cyber attacks. Studying sensor information. Maybe acquiring sensors. Also doing some design to reduce environmental pollution and degradation.

","My apologies for the slow response here. We're not so familiar with cyber-security, but if I present briefly what our models are good for I would say that we can handle:

Image input
Text input
Numeric and categorical inputs
Any mix of the input types above
And as a model output you could get:

Numerical values
Classification (including probabilities for each category)
To train a model, you'd have to provide a number of examples that contain both the input and the output. Do you think any of your problems could benefit from these kinds of models?
If so just let me know more about some of your applications and I could guide you more precisely.",1
Yeah. I'm looking for the source of toxic radiation in the 90Ghz to 120Ghz spectrum and then need decision making about how to handle a humanitarian crisis that the attack causes by dealing with the source of the attack. I guess I would want it to take in sensor information and then do remediation work to reduce the scope of the problem the attack has caused at the source of it or by other means.,"Assuming that there is only a discrete set of decisions possible (e.g. Decision A, Decision B, Decision C), what you could do is train a model with the sensor inputs from past events and the decisions that were taken.

If a model can predict those accurately, when a new event occurs you would be able to know very quickly which decision (A, B, or C) is the most likely to be taken from similar input according to the past events.

I would recommend that you break down your problem into small parts so that you could solve each one in the best way, and focus on what really matters.

Don't hesitate to have a look at the tutorials to see what kind of methods are available with us, and if they could help to solve some pieces of your general problem.
https://peltarion.com/knowledge-center/documentation/tutorials",1
"Hi, when I tried uploading a csv file I received the following error message.
File exceeded column limit (5000 columns)
However my column/fields total is about 500 fields.","There was an interesting issue related to the format of the file that made the platform unable to read it. We'll discuss internally how to catch this and accept a file on this format.

I haven't seen this issue before - may I ask what tool you used to compile and save/download this data?

.....
A: so the last export was a csv export from excel 2011. for mac ",1
Can I generate copywriting scripts using this?,"Hello, our services are well-suited for text analysis and sentiment analysis, but we don't have generation capabilities on the platform",1
"Hello. How can I predict trend, direction in a multivariate streaming time-series data? My goal is to train AI for currency market.","Time-series isn't something we have native support for on the platform, since all the models expect fixed-size input.
A simple workaround is to reorder your data to have the last N values in the same row of data. When you have a large number V of variables, this tends to create many features so after a point I would recommend uploading a NumPy array rather than a csv file. If you have T time points, the shape of this array would be (T, NxV).

The target you want to predict should be in an extra column of this array.

Then you could have a first try with the Dense or Convolution blocks.

I hope this gives you useful hints, but if something isn't clear or if you have more questions just let me know.
",1
"But a real question: I have an auto-encoder experiment that was trained with 64x64 images, I am forced to send to deployed experiment a bigger image as 64x64 chunks. Can I skip this chunking to 64x64 chunks somehow? I would like to use 64x64 training data and after deployment use 640x640 images in Http calls as input image??","Good that you solved the first problem with the image augmentation.

For the image size, I would say it depends on the where is the content of the image.
You can submit an image that is bigger than 64x64 to the deployed model, but what will happen is that the whole image will be either resized  or cropped around the center, according to the Image transformation setting that was selected in the datasets view. 

If your big image has several objects in it that should be processed individually, then you would have to cut the image in smaller chunks yourself first. 

As a side note, since you are using autoencoders, we have recently released the Output block that you can use to get data from anywhere in your network at deployment time. When you have an Output block, you can deactivate Use for predictions in the target block. This lets you train the autoencoder as usual, but the deployment will avoid returning the whole 64x64 image in the prediction.
",1
"Hi, I really liked the Peltarion APIs. I wanted to know if there is an API for training as well, so that I can push the data using Data API, automatically trigger the training and then the deployment, all using APIs","As you noted there are APIs for Data upload and Deployment query, but the steps in between have to be done from the website. There is no ongoing plan to add APIs for model building and training, but I will relay your question to the product development team. 

It is rather clear that being able to automate more tasks is good, but do you have a specific case in mind where you would benefit from a model building/training API?",1
When I develop an ai with the help of peltarion and deploy it.........who will own the ai (or the code) peltarion or me ?,"Hi Shreyas,

Intellectual property on the platform is covered on this page https://peltarion.com/terms, in particular please see sections 9 and 16 which might be of interest to you.
Please also note that some of the datasets and models (especially models with pretrained weights) that are accessible on the platform may have their own licensing terms which you have to follow. You can find more information on these pages: https://peltarion.com/knowledge-center/documentation/terms/pretrained-licenses and https://peltarion.com/knowledge-center/documentation/terms/dataset-licenses
Are there some special conditions that you are looking for? I could put you in touch with our sales team if you would like to discuss use terms.",1
"Hi, I tried to create an image classification model to call from Bubble.io. It seems that everything for creating the model and deploying it went okay. However when I tested the deployment it didnt work. It give me a 500 error. Can you help me out with this?


Also need to understand whats the minimum number of images needed to train the model?","You model is set up to work with 4-channel images, i.e. 3 color channels plus transparency. Unfortunately, this means that the model always expects to receive transparent images so I suspect that this is the cause of the problem. 

I recommend that you make a new version of your dataset where you set the Color mode of the Image feature to Color. The Shape of the Image feature should change to 229×366×3, which is the most widespread color mode for images.
Train a new model from this dataset and check if it works as intended.

Regarding the amount of images that you need, it depends on the task that you are trying to solve. Generally, the more complex tasks require more images. It looks like your dataset has only 2 categories of images which are rather simple to differenciate from the amount of green they contain, so I would think that what you have is enough.",1
"We are looking to build a model that can match job postings with candidates and vice versa. Would this be something that can be modeled here? If so, can you give me some guidance on what I should be looking at?
","Hi,
Thank you for reaching out to us. The answer is ""Well, it depends"" :)
Basically it depends on the data that you have and how it is labeled.

If you want, someone from our data scientist team can contact you to see if your use case would work. Could that be a plan?",1
"Hey! Can I use a sequence length longer than 512 for BERT? I have about 4000 observations and I would like to use a sequence length of 1500, would it be possible and would I run into memory problems?","Hi 
No, unfortunately it's not possible to go over 512 sequence length with BERT. The main reason is that the 512 input size is what the authors designed and pre-trained BERT for.

What happens when you pick a smaller sequence length is that some part of the model is simply ignored, but to use a larger size than 512 you would need to re-build the model with more nodes and train it from scratch.
Like you said, there is also a practical limit since you will hit memory limits on most GPUs.We have the same recommendations as the Google team, which is to run a batch size of 6 when using a sequence length of 512. If the model allowed it, you might have been able to fit a sequence length of 1500 on a GPU, but then you would be training by using just 1 or 2 examples at a time.
But you should also consider that the compute time goes with the square of the sequence length, so running with 1500 will take 9x longer than running with 500 sequence length. This is true both during training and during inference. 
So to run your case, I would recommend to either

Split your input text into shorter sequences, possibly with some overlap between sequences if that makes sense.
Use a lighter model that could handle longer sequences. You could start with the FastText embeddings and then add a few 1D-convolution layers.
I hope this helps. If you want to let me know a bit more about your problem, I'll be happy to think if there are better approaches that you could try. 

Best,
Romain",1
Please do not register me.,"Hi John,
Do you want us to delete your user account or are you referring to something else? We will of course comply with your wish to unregister, but since you are a user, I need to get your confirmation on that is in fact what you want to do.",1
Accuracy,Accuracy is a performance metric that allows you to evaluate how good your model is. It's used in classification models and is the ratio of:or equivalently:Note that accuracy is highly sensitive to class imbalances in your data.,1
What is Accuracy,Accuracy is a performance metric that allows you to evaluate how good your model is. It's used in classification models and is the ratio of:or equivalently:Note that accuracy is highly sensitive to class imbalances in your data.,1
Can you help me with Accuracy,Accuracy is a performance metric that allows you to evaluate how good your model is. It's used in classification models and is the ratio of:or equivalently:Note that accuracy is highly sensitive to class imbalances in your data.,1
What does Accuracy mean?,Accuracy is a performance metric that allows you to evaluate how good your model is. It's used in classification models and is the ratio of:or equivalently:Note that accuracy is highly sensitive to class imbalances in your data.,1
How do I use Accuracy?,Accuracy is a performance metric that allows you to evaluate how good your model is. It's used in classification models and is the ratio of:or equivalently:Note that accuracy is highly sensitive to class imbalances in your data.,1
Activation function,"An activation function is a non-linear function which takes the weighted sum of all the inputs to a node and maps them to values in the range of 0 to 1 (e.g., Sigmoid), 0 to ∞ (e.g. ReLu) or -1 to 1 (e.g., TanH).Its non-linear nature is what allows neural networks to model any kind of function (it makes them a universal function approximator).Use an activation function in every node of a network. On the Peltarion Platform, all nodes are automatically assigned an activation function, which can be changed as one of the configurable parameters of the blocks that have nodes. You can read about Activation here: https://peltarion.com/knowledge-center/documentation/modeling-view/build-an-ai-model/blocks/activation",1
What is Activation function,"An activation function is a non-linear function which takes the weighted sum of all the inputs to a node and maps them to values in the range of 0 to 1 (e.g., Sigmoid), 0 to ∞ (e.g. ReLu) or -1 to 1 (e.g., TanH).Its non-linear nature is what allows neural networks to model any kind of function (it makes them a universal function approximator).Use an activation function in every node of a network. On the Peltarion Platform, all nodes are automatically assigned an activation function, which can be changed as one of the configurable parameters of the blocks that have nodes. You can read about Activation here: https://peltarion.com/knowledge-center/documentation/modeling-view/build-an-ai-model/blocks/activation",1
